Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date),,
"6,95",Nordea,Rörlig,91 791,130000,maj 2010,,
"6,9",Swedbank,16,29 532,800000,981001,,
"6,8",Swedbank,Rörlig,31 167,"1,2 mkr",10/1/2010,,
"6,8",Swedbank,Rörlig,62142,"0""","2,3",2006.06.21,
"6,77",SEB,7 år,17078,,,,
"6,7",Nordea,12,13 537,,,,
"6,65",SEB,3 månader,22 355,"1,76 mkr",Mars 2012,,
"6,63",SBAB,3 år,95792,,,,
"6,6",Länsförsäkringar,Rörlig,44 156,500000,120226,,
"6,5",Swedbank,Rörlig,77 697,680000,2007,,
"6,5",Handelsbanken,Rörlig,86 030,,,,
"6,34",Danske Bank,Rörlig,11736,"0""","2,4 mkr",20120315,
"6,33",Swedbank,Rörlig,81 290,379000 kr,101210,,
"6,3",Länsförsäkringar,Rörlig,12 866,"0,9 mlj",110401,,
"6,28",Swedbank,5 år,31140,,,,
"6,25",Swedbank,Rörlig,45 162,322000,7/1/2009,,
"6,2",Handelsbanken,3 månader,57 723,,,,
"6,2",Länsförsäkringar,4 år,74497,200000,6/30/2008,,
"6,2",Swedbank,5 år,79153,281700,80326,,
"6,2",Nordea,5 år,81022,"1,3 mkr",Aug-08,,
"6,19",Swedbank,5 år,41669,900000,7/20/2008,,
"6,18",Nordea,5 år,19464,,,,
"6,15",Swedbank,3 år,61691,17700,20070815,,
"6,15",Swedbank,3 månader,68 233,"0,128",Mars 2009,,
"6,15",Swedbank,3 månader,68 292,"0,75",Mars 2009,,
"6,14",Swedbank,14,78 390,,,,
"6,1",Swedbank,Rörlig,43 265,505000,50107,,
"6,1",Swedbank,5 år,54694,130000,20080909,,
"6,07",Swedbank,5 år,74496,"0,6 mkr",80626,,
"6,05",Swedbank,5 år,62454,,,,
"6,05",SEB,5 år,78462,290000,20080701,,
"6,05",Swedbank,Rörlig,92 292,,,,
"6,02",Länsförsäkringar,1 år,31165,,,,
"5,98",Swedbank,5 år,70594,,,,
"5,98",Swedbank,10 år,81431,297000,20040715,,
"5,95",SEB,Rörlig,24 797,"2,0 mkr",3/30/2005,,
"5,95",Danske Bank,5 år,33018,750000,2008,,
"5,9",SBAB,10 år,14131,1200000,2002,,
"5,9",Swedbank,7 år,26471,1950000,20081009,,
"5,89",Nordea,"blandat, en del rörlig, en del bunden",43 297,"2,3mkr",Nov-11,,
"5,88",SBAB,7 år,41658,,,,
"5,86",SBAB,10 år,76393,"0,3mkr",Apr-08,,
"5,85",Danske Bank,Rörlig,11 441,"4,4 mkr",3/18/2010,,
"5,85",Swedbank,blandat,43 974,"1,6mkr",3/7/2011,,
"5,85",Swedbank,5 år,51535,"1,1",7/11/2007,,
"5,85",Swedbank,5 år,76019,,,,
"5,8",Handelsbanken,5 år,19558,950000,augusti 2008,,
"5,8",Handelsbanken,8 år,25667,400000,40401,,
"5,8",Danske Bank,5 år,60375,,,,
"5,8",Swedbank,3 år,73234,500000,2009,,
"5,79",Handelsbanken,Rörlig,19630,"0""",125 tkr,Juni 2008,
"5,75",Handelsbanken,Rörlig,13 037,"0,008 mkr",mars 2001,,
"5,75",Handelsbanken,Rörlig,13 037,85 tkr,rörlig,,
"5,75",Handelsbanken,Rörlig,13 971,"8,25 tkr",4/1/2012,,
"5,7",Handelsbanken,7 år,16766,"0,34",12/16/2008,,
"5,7",Handelsbanken,8 år,16766,"0,4",mars 2008,,
"5,7",Swedbank,5 år,28950,"360.0""0","00""",20110615,
"5,7",Handelsbanken,10 år,30571,1742000,6/10/2008,,
"5,66",Swedbank,10 år,77190,469200,2/23/2008,,
"5,65",Länsförsäkringar,3 månader,31 138,266000,80101,,
"5,65",Danske Bank,2 år,58731,,,,
"5,65",Handelsbanken,10 år,73332,750000,2003,,
"5,63",SEB,Rörlig,21 116,21116,Oktober 2009,,
"5,63",SBAB,4,41 658,,,,
"5,62",Handelsbanken,5 år,86591,150 KSEK,6/1/2008,,
"5,6",Skandiabanken,5 år,12554,,,,
"5,6",Handelsbanken,löpande,13 131,,,,
"5,6",Swedbank,5 år,29034,"1,3 mkr",7/1/2008,,
"5,6",Nordea,5 år,31060,,,,
"5,57",SEB,3 månader,43 495,"2,2",4/2/2012,,
"5,56",SEB,Rörlig,21 116,"1,5 mkr",Oktober 2009,,
"5,53",Handelsbanken,1 år,11520,"0""","1,52 mkr",Maj 2011,
"5,5",Handelsbanken,Rörlig,17 837,"1,0 mkr",Februari 2008,,
"5,5",Swedbank,3 månader,21 449,"0,1 mkr",12/31/2011,,
"5,5",Länsförsäkringar,Rörlig,29 892,,,,
"5,5",Nordea,Rörlig,41 273,"2,1",1997,,
"5,5",Länsförsäkringar,Rörlig,53 292,"1,5",januari 2010,,
"5,5",Handelsbanken,5 år,82040,"1,2",Oktober 2010,,
"5,5",Handelsbanken,Rörlig,88 037,125000,20111030,,
"5,47",Swedbank,6 år,93231,521 tkr,1/31/2012,,
"5,47",Swedbank,5 år,61691,"0""",507000,20070815,
"5,45",SEB,5 år,29531,750000,5/28/2008,,
"5,45",Handelsbanken,5 år,38531,"1,3",juni 2007,,
"5,45",Swedbank,7 år,46191,,,,
"5,45",Länsförsäkringar,5 år,78390,600000,5/1/2008,,
"5,44",Nordea,3 månader,75 319,2000000,januari 2012,,
"5,4",Swedbank,10 år,33142,"1,6",Dec-06,,
"5,4",Swedbank,7 år,46531,,,,
"5,4",Swedbank,5 år,66432,360000,8/8/2007,,
"5,4",Länsförsäkringar,5 år,78390,,,,
"5,4",Länsförsäkringar,5 år,78390,,,,
"5,4",Handelsbanken,3 månader,78 462,800000,20120301,,
"5,4",Nordea,5 år,81695,630000,20080115,,
"5,4",Handelsbanken,5 år,82070,800000,2007,,
"5,4",Länsförsäkringar,5 år,83296,,,,
"5,4",Swedbank,Rörlig,84 013,"0,448",maj 2008,,
"5,4",Swedbank,Rörlig,84 013,"0,448",maj 2008,,
"5,4",Swedbank,3 månader,84 013,"0,448",Maj 2008,,
"5,4",Swedbank,5 år,84013,"0,448",Maj 2008,,
"5,4",Swedbank,Rörlig,84 013,"0,448",Maj 2008,,
"5,4",SBAB,10 år,98336,"0,560 mkr",80610,,
"5,39",Swedbank,5 år,54692,,,,
"5,37",Nordea,5 år,79570,650000,4/30/2005,,
"5,37",Swedbank,5 år,95263,580000,augusti 2007,,
"5,35",Swedbank,10 år,26535,,,,
"5,35",SBAB,5 år,76171,,,,
"5,35",Swedbank,10 år,81431,294000,20070925,,
"5,32",Swedbank,5 år,30239,"1,3 mkr",20071214,,
"5,32",Handelsbanken,10 år,58731,140000,20070930,,
"5,3",Swedbank,3 år,62194,,,,
"5,29",Nordea,5 år,66340,350,4/27/2007,,
"5,29",Handelsbanken,5 år,68696,163985,5/1/2007,,
"5,29",Handelsbanken,5 år,81841,134 tkr,12/1/2007,,
"5,28",Swedbank,5 år,31231,,,,
"5,28",Swedbank,5 år,36023,465000,maj 2007,,
"5,28",Swedbank,3 månader,61 335,"1,9 mkr",111020,,
"5,28",Swedbank,7 år,61734,138000,90425,,
"5,28",Swedbank,5 år,73394,"0,693 mkr",6/3/2007,,
"5,27",Swedbank,12,37 534,1000000,Februari 2003,,
